scenario_id,context_key,sample_0,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19

1,cost_10,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
1,cost_10000,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Cannot,No,No,No
1,deter_impossible,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1,deter_others_impossible,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No
1,deter_others_possible,Yes,No,Cannot,Cannot,Yes,Cannot,Yes,Yes,Yes,Yes,Yes,Cannot,Cannot,Yes,Cannot,Yes,Cannot,Cannot,Cannot,No
1,deter_possible,Cannot,Yes,No,No,No,Yes,Yes,Yes,Cannot,No,No,Yes,Cannot,Yes,No,No,Yes,No,Yes,Yes
1,grim_trigger,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1,interaction_continuous,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Cannot,Yes,Cannot
1,interaction_not_continuous,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes
1,legal_implications,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1,legal_implications_none,Cannot,Yes,Cannot,Cannot,Yes,Cannot,Cannot,Cannot,Cannot,Cannot,Yes,No,Cannot,Cannot,Cannot,Cannot,Cannot,Cannot,Cannot,Cannot
1,no_context,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1,offense_will_not_recur,Cannot,No,Cannot,No,Cannot,No,No,Cannot,No,No,No,No,No,No,Yes,No,No,Cannot,No,No
1,offense_will_recur,No,No,No,Cannot,No,Cannot,No,No,No,No,No,Cannot,Cannot,No,No,No,No,Cannot,Cannot,No
1,offense_will_recur_despite_punishment,No,No,No,No,No,No,No,No,No,No,No,No,Cannot,No,No,No,No,No,No,No
1,others_ambivalent,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,<,Yes,Yes,Yes,<,No,Yes,Yes,Yes
1,others_do_not_want_punishment,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
1,others_want_punishment,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No
1,others_will_not_punish,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No
1,others_will_punish,Yes,Yes,Yes,Yes,Yes,Yes,No,Cannot,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes
1,reputation_decrease,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1,reputation_improve,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1,reputation_same,Cannot,No,Cannot,Yes,Yes,Yes,No,Cannot,Cannot,Yes,Cannot,Yes,Cannot,Yes,Yes,No,No,Yes,No,Yes
1,retaliation_expected,No,No,Cannot,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Cannot,Cannot
1,retaliation_not_expected,Yes,No,Cannot,Yes,Yes,Cannot,Yes,Cannot,No,Yes,Cannot,Yes,Yes,Cannot,Yes,Yes,No,Cannot,No,Yes
1,target_has_high_status,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No
1,target_has_low_status,No,No,No,Yes,Cannot,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Cannot,No,Yes,No,No
1,target_has_supporters,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1,target_no_supporters,Yes,Yes,No,Yes,Cannot,Yes,No,<,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1,tit_for_tat,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Cannot,No,No,No,No,No
2,cost_10,No,No,Yes,No,No,No,Cannot,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Cannot,Cannot
2,cost_10000,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Cannot,No,No,Cannot
2,deter_impossible,Cannot,Cannot,Yes,Cannot,Cannot,Cannot,Cannot,Cannot,Yes,Cannot,Cannot,Cannot,Cannot,Cannot,Cannot,Cannot,Cannot,Cannot,Cannot,Cannot
2,deter_others_impossible,No,No,No,No,No,Yes,No,No,Cannot,No,Cannot,Yes,No,No,No,No,No,Yes,No,No
2,deter_others_possible,No,Yes,Cannot,Yes,Cannot,Cannot,Cannot,Yes,Yes,Cannot,Cannot,Cannot,Cannot,Cannot,Cannot,Cannot,Cannot,Cannot,Cannot,Cannot
2,deter_possible,Cannot,Cannot,Cannot,Cannot,Cannot,Cannot,Cannot,Cannot,Yes,Cannot,Cannot,No,Cannot,Cannot,Cannot,Cannot,Cannot,Cannot,Cannot,Cannot
2,grim_trigger,Cannot,No,No,No,No,No,Cannot,No,No,No,No,No,No,No,No,No,Cannot,No,No,Cannot
2,interaction_continuous,Yes,No,Cannot,Cannot,Cannot,Yes,Cannot,Cannot,Yes,Yes,Cannot,Yes,Cannot,Cannot,Cannot,No,Yes,No,Yes,Cannot
2,interaction_not_continuous,No,No,No,No,No,No,Cannot,No,Cannot,No,No,No,No,No,No,Cannot,No,No,No,No
2,legal_implications,No,No,Cannot,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Cannot,No,No
2,legal_implications_none,Cannot,Cannot,Cannot,Cannot,Cannot,Cannot,Cannot,Cannot,Cannot,Cannot,Cannot,Cannot,Cannot,Cannot,Cannot,Cannot,No,Cannot,Cannot,No
2,no_context,Cannot,No,No,No,No,No,Cannot,No,Yes,Cannot,No,No,No,Cannot,No,Cannot,No,No,No,Yes
2,offense_will_not_recur,Yes,Cannot,Cannot,Cannot,Cannot,Cannot,Yes,Cannot,Cannot,Cannot,Cannot,Cannot,Cannot,Cannot,Cannot,<,No,Cannot,Cannot,Cannot
2,offense_will_recur,Cannot,Cannot,Cannot,Cannot,Cannot,No,Yes,Cannot,Cannot,Cannot,Cannot,Cannot,Yes,No,Cannot,Cannot,Cannot,Cannot,Cannot,Cannot
2,offense_will_recur_despite_punishment,Cannot,No,No,Cannot,Cannot,Yes,Cannot,Cannot,Cannot,Yes,<,Yes,No,Cannot,Yes,Cannot,Yes,No,No,Cannot
2,others_ambivalent,Cannot,Cannot,Cannot,Cannot,Yes,Cannot,No,Yes,Yes,No,No,Cannot,Cannot,No,Yes,No,No,Cannot,Cannot,Cannot
2,others_do_not_want_punishment,No,No,Yes,Cannot,Cannot,Yes,<,No,Yes,No,Cannot,No,No,Cannot,No,No,No,No,Yes,No
2,others_want_punishment,Yes,Cannot,Cannot,Cannot,Cannot,Yes,Yes,Cannot,Cannot,Cannot,No,No,Yes,Cannot,No,Cannot,Yes,Yes,Cannot,No
2,others_will_not_punish,No,No,No,Cannot,Cannot,Cannot,No,Cannot,<,Cannot,Cannot,Cannot,No,Cannot,Yes,Cannot,Cannot,Yes,No,Cannot
